PARENTNO,PARENT_VER,PROD_STATUS,PROD_CDATE,PROD_MODDATE,GISONG,BRAND,EL_ASPD,EL_ACAPA,ASPSCD,PARTNO,PARTNAME,PART_VERSION,SPEC,GLCODE,PART_QTY,CMT,UCHECK
V200140,2,RLS,2023-11-30,2023-11-30,,,,,,695001040,PRIMER,0,ZINC PRIMER,695ZS0154,4,,1
V200140,2,RLS,2023-11-30,2023-11-30,,,,,,695001280,GUIDE RAIL,0,SUS PIPE,ETC.,50,,1
V200140,2,RLS,2023-11-30,2023-11-30,,,,,,P600V2001401A,ESCALATOR ASSY,0,"CHN, S-BT2, 30DEG, OUTD",700022S0102(V200140),2,,1
V200140,2,RLS,2023-11-30,2023-11-30,,,,,,R761000006600,OIL,0,"TM OIL 320, MAKER : SK OIL",TM_OIL_320,0.5,,1
V200420,9,RLS,2026-08-20,2026-08-20,,,,,,10101390G0100,BRAKE ADAPTOR,1,"GX100, BFK464-28R",10101390G01,6,"버티포트 기체용 팝업 승강기 TM 제작 건
 - GX300의 Stator Assy 비표준 2대분 제작 시 추가되는 비용 처리를 위한 대체자재 발주 건
   (표준 GX300 Stator에서 Coil 및 턴수 변경)",1
V200420,9,RLS,2026-08-20,2026-08-20,,,,,,10110539G0400,TM,9,"GY55A,2:1,SINGLE,RH(T-BOX)",10110539G04,2,"버티포트 승객용 팝업 승강기 TM 제작 건
 - TM : GY55A
 - 제작 수량 : 2대
 - 제작 요청일 : 3/E 1대, 8/E 1대
 - 담당자 : 권상시스템개발팀 김정원 매니저

※ 2차 제작 TM은 Encoder를 선 길이 15m로 변경하여 제작할 것. (20000191G0200 → 20000191G0300)",1
V200420,9,RLS,2026-08-20,2026-08-20,,,,,,10110541G0100,TERMINAL BOX ASSY,0,GY55,10110541G01,2,"버티포트 승객용 팝업 승강기 TM 제작 건
 - TM : GY55A
 - TERMINAL BOX 상부 추가 설치를 위한 자재 요청 건",1
V200420,9,RLS,2026-08-20,2026-08-20,,,,,,10110678G0400,TM,2,"GX300B,1:1/2:1,DOUBLE,SIN/COS ENCODER",10110678G04,2,"버티포트 기체용 팝업 승강기 TM 제작 건
 - TM : GX300
 - 특이사항 : 하기 부품은 별도 제작하여 입고
   1) STATOR CORE ASSY(20000185G020A) : Coil 사양 변경 (선경 x 릴수 : Ø2.4 x 1w → Ø1.6 x 1w, 턴수 (T/C) : 41 → 87)
   2) MAIN SHEAVE(10101136G0100) : 홈 가공 변경 (홈 : Ø13 x 16 → Ø12 x 16, 홈 각도 : β=30˚, γ=35˚ → β=95˚, γ=30˚)
 - 제작 수량 : 2대
 - 제작 요청일 : 3/E 1대, 8/E 1대
 - 담당자 : 권상시스템개발팀 김정원 매니저

※ 2차 제작 TM은 Encoder를 선 길이 15m로 변경하여 제작할 것. (20000191G0200 → 20000191G0300)",1
V200420,9,RLS,2026-08-20,2026-08-20,,,,,,12100564G0300,BELT CLEANER,1,4BELT,12100564G03,2,"버티포트 승객용 팝업 승강기 TM 비표준 대응 제작비용 처리 건
 - 부품 :  Terminal Box Bracket
 - 제작 수량 : 2대
 - 제작업체 : 유한이엘피
 - 부품 입고일 : '26.06.04
 - 담당자 : 권상시스템개발팀 김정원 매니저",1
V200420,9,RLS,2026-08-20,2026-08-20,,,,,,20000191G0300,ENCODER,0,SIH60H-20-ST-2048-3,20000191G03,3,"버티포트 팝업 승강기 엔코더 교체를 위한 발주 건
 - 타워 TM 교체용 2개 (GX300, GY55)
 - 운임비용 1개",1
V200420,9,RLS,2026-08-20,2026-08-20,,,,,,LAB110435,MAIN SHEAVE,0,GX300 홈 가공 수정,DVRT,2,"버티포트 기체용 팝업 승강기 TM 제작 건
 - GX300 Main Sheave(비표준) 제작 건",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,103C0014G160A,CROSS BEAM,0,FOR RENOVATION,103C0014G16,20,"총 20EA 2026.06.24
우주공업사 선조치분 기입 요망 10EA
----------------------------------------
우주공업사 선조치분 기입 요망 10EA",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,18210281G0300,BRACKET,0,SEPARATING BEAM 하부 고정,18210281G0300,81,"수량 81EA로 수정
----------------------------------------------
[대광기계] (대체자제 건) [제작 불필요]
18210281G0300 = 16EA 
------------------------------------------------
낙하승강로 설치용 자재
- MAIN & HORIZONTAL BEAM 하부 지지용
- 수량 : 65 set  (2ea/set)
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,18210281G0500,BRACKET,0,SEPARATING BEAM 하부 고정,18210281G0500,15,"낙하승강로 안전발판 설치용 자재
- BEAM 하부 지지용
- 수량 : 15 set  (2ea/set)
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,18210281G0600,BRACKET,0,SEPARATING BEAM 하부 고정,18210281G0600,5,"낙하승강로 설치용 자재
- HORIZONTAL BEAM 하부 지지용
- 수량 : 5 set  (2ea/set)
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,18210330G0300,BRACKET,0,SEPARATING BEAM BRKT,18210330G03,130,"낙하승강로 설치용 자재
- HORIZONTAL BEAM 상부 보강용
- 수량 : 130 ea
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,18210703G0400,ANCHOR BOLT (M12),0,WEDGE ANCHOR,18210703G04,150,"2026.05.19
- M12X100 ANCHOR BLOT (150EA)
담당자: 한준혁(010-4028-5388)
입고지: 충주아산타워",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,182D0007G0200,RAIL CLIP,0,"FIXED,WITH COMPONENT",182D0007G02,870,"낙하승강로 Rail Bracket 설치용 자재
* Rail Spec : 37K
- 37용 Rail Clip 미등록 자재로 대체자재 발주
- 자재번호/수량 : 182D0007G0200 / 870EA
--> 요청 자재 : 37K 레일클립(M20*80 볼트 ASSY 포함) = 350EA
      입고요청일 : 4월 23일 限
      입고장소 : 충주 아산타워 1층 화물호기 앞
      수령인 : 이민규 (010-2079-6628)  /  유진환 (010-9362-7955)",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,18310146G130A,BUFFER BLOCKING,0,SAU/S1U/S2/OMNI/S3,18310146G13,1,"-	비표준 (첨부파일 참고)
: 상부 판 18310143H05 크기로 적용 (270x180)
: 상부 판 체결홀 간격 : 210x100 적용
: 상부 판 체결홀 크기 : Φ20 적용
: 체결용 볼트/너트 Set : M18x60  (4ea)
-	[BH]=100
	입고지: 현대엘리베이터 충주 본사 (충청북도 충주시 충주산단 1로 128)
	담당자: 이민규(010-2079-6628)
	기타: 비표준 제작 / 입고 관련 대체자재 필요시 회신바랍니다.
	입고 가능일 회신 바랍니다.



",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,HX00002WH0500,ANCHOR BOLT,2,"WEDGE ANCHOR,국내",HX00002WH05,590,"2026.05.19
- M16X120 ANCHOR BLOT (260EA) [총 590EA]
담당자: 한준혁(010-4028-5388)
입고지: 충주아산타워

2026.05.11
담당자: 한준혁(010-4028-5388)
입고지: 충주아산타워
M16X120 ANCHOR BLOT (180EA) 

2026.04.15
M16X120 ANCHOR BLOT (150EA)",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110392,BUFFER FOOTING,0,"낙하승강로 설치용 자재, PIT, Buffer Base Plate",V000001G01,1,낙하승강로 설치용 자재,1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110393,BUFFER FOOTING,0,"낙하승강로 설치용 자재, PIT, Buffer Plate",V000002G01,1,낙하승강로 설치용 자재 1EA,1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110394,RAIL SUPPORT ASSY,0,"낙하승강로 설치용 자재, PIT, RAIL SUPPORT ASSY",V000100G01,2,낙하승강로 설치용 자재,1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110395,RAIL BRKT,0,"낙하승강로 설치용 자재, RAIL BRACKET ASSY(Main)",V000200G01,113,"낙하승강로 설치용 자재
대체자재발주 : 2 ea / 26.06.12

3차분 발주 : 3 ea   /   26.05.20
-> 입고요청일 :  ~ '26.05.28 限

2차분 발주 : 58ea   /   26.05.12
1차분 발주 : 50ea   /   26.04.21

총수량 : 113 ea",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110409,SUBWEIGHT (SS400),0,"낙하시험용, DUMMY WEIGHT",V000500G01,9,"낙하시험용 Weight
무게 : 1,650kg",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110410,SUBWEIGHT (SS400),0,"낙하시험용, DUMMY WEIGHT",V000500G02,3,"낙하시험용 Weight
무게 : 1,200kg",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110411,SUBWEIGHT (SS400),0,"낙하시험용, DUMMY WEIGHT",V000500G03,3,"낙하시험용 Weight
무게 : 750kg",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110412,SUBWEIGHT (SS400),0,"낙하시험용, DUMMY WEIGHT",V000501G01,10,"동광사우 [대체자제건] (제작불필요)
수량: 7EA
---------------------------------------------
낙하시험용 Weight
무게 : 290kg
수량: 3EA",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110413,SUBWEIGHT (SS400),0,"낙하시험용, DUMMY WEIGHT",V000053G01,33,"동광사우 (대체자재건) [제작불필요]
수량: 3EA


낙하시험용 Weight
무게 : 10kg
수량: 30EA",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110421,H-BEAM ASSY,0,"낙하승강로 설치용 자재, MAIN BEAM SUPPRT ASSY",V000300G01,2,"수량 2EA로 수정
-------------------------------------
낙하승강로 설치용 자재
- MAIN BEAM SUPPORT ASSY (수직빔 지지용)
- 수량 : 2 ea
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워
- 입고요청일 :  ~ '26.05.28 限",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110422,H-BEAM ASSY,0,"낙하승강로 설치용 자재, HORIZONTAL BEAM",V000033G01,60,"낙하승강로 설치용 자재
- HORIZONTAL BEAM
- 수량 : 60 ea
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워
- 입고요청일 :  ~ '26.05.28 限
**  중요 :  H-Beam 길이 2850mm로 제작할 것  **",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110423,H-BEAM ASSY,0,"낙하승강로 설치용 자재, VERTICAL BEAM",V000036G01,3,"낙하승강로 설치용 자재 : 총수량 3ea
발주날짜 : 26.06.12
- VERTICAL BEAM
- 수량 : 1 ea 
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워
- 입고요청일 :  ~ '26.06.22 限

발주날짜 : 26.06.10
- VERTICAL BEAM
- 수량 : 2 ea
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워
- 입고요청일 :  ~ '26.06.18 限
**  제작 길이 별도 전달  **",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110424,H-BEAM ASSY,0,"낙하승강로 설치용 자재, VERTICAL BEAM",V000036G01,2,"낙하승강로 설치용 자재
- VERTICAL BEAM
- 수량 : 2 ea
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워
- 입고요청일 :  ~ '26.06.18 限
**  제작 길이 별도 전달  **",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110425,H-BEAM ASSY,0,"낙하승강로 설치용 자재, VERTICAL BEAM",V000036G01,1,"낙하승강로 설치용 자재
발주날짜 : 26.06.12
- VERTICAL BEAM
- 수량 : 1 ea
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워
- 입고요청일 :  ~ '26.06.22 限
**  제작 길이 별도 전달  **",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110426,H-BEAM ASSY,0,"낙하승강로 설치용 자재, VERTICAL BEAM",V000036G01,5,"낙하승강로 설치용 자재
- VERTICAL BEAM
- 수량 : 5 ea
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워
- 입고요청일 :  ~ '26.06.18 限
**  제작 길이 별도 전달  **",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110427,H-BEAM ASSY,0,"낙하승강로 설치용 자재, VERTICAL BEAM",V000036G01,6,"낙하승강로 설치용 자재 : 총수량 6 ea
발주날짜 : 26.06.12
- VERTICAL BEAM
- 수량 : 2 ea 
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워
- 입고요청일 :  ~ '26.06.22 限

발주날짜 : 26.06.10
- VERTICAL BEAM
- 수량 : 4 ea
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워
- 입고요청일 :  ~ '26.06.18 限
**  제작 길이 별도 전달  **",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110428,H-BEAM ASSY,0,"낙하승강로 설치용 자재, VERTICAL BEAM",V000036G01,9,"낙하승강로 설치용 자재 : 총수량 9 ea
발주날짜 : 26.06.12
- VERTICAL BEAM
- 수량 : 6 ea 
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워
- 입고요청일 :  ~ '26.06.22 限

발주날짜 : 26.06.10
- VERTICAL BEAM
- 수량 : 3 ea
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워
- 입고요청일 :  ~ '26.06.18 限
**  제작 길이 별도 전달  **",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110429,H-BEAM ASSY,0,"낙하승강로 설치용 자재, VERTICAL BEAM",V000036G01,13,"낙하승강로 설치용 자재 : 총수량 13 ea
발주날짜 : 26.06.12
- VERTICAL BEAM
- 수량 : 7 ea 
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워
- 입고요청일 :  ~ '26.06.22 限

발주날짜 : 26.06.10
- VERTICAL BEAM
- 수량 : 6 ea
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워
- 입고요청일 :  ~ '26.06.18 限
**  제작 길이 별도 전달  **",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110430,H-BEAM ASSY,0,"낙하승강로 설치용 자재, VERTICAL BEAM",V000036G01,13,"낙하승강로 설치용 자재 : 총수량 13 ea
발주날짜 : 26.06.12
- VERTICAL BEAM
- 수량 : 6 ea 
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워
- 입고요청일 :  ~ '26.06.22 限

발주날짜 : 26.06.10
- VERTICAL BEAM
- 수량 : 7 ea
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워
- 입고요청일 :  ~ '26.06.18 限
**  제작 길이 별도 전달  **",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110431,H-BEAM ASSY,0,"낙하승강로 설치용 자재, VERTICAL BEAM",V000036G01,4,"낙하승강로 설치용 자재
발주날짜 : 26.06.12
- VERTICAL BEAM
- 수량 : 4 ea
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워
- 입고요청일 :  ~ '26.06.22 限
**  제작 길이 별도 전달  **",1
V200480,13,RLS,2026-06-24,2026-06-24,,,,,,LAB110432,H-BEAM ASSY,0,"낙하승강로 설치용 자재, VERTICAL BEAM",V000036G01,1,"낙하승강로 설치용 자재
- VERTICAL BEAM
- 수량 : 1 ea
- 담당자: 한준혁 (010-4028-5388)
- 입고지: 충주아산타워
- 입고요청일 :  ~ '26.06.18 限
**  제작 길이 별도 전달  **",1
V300520,3,RLS,2024-12-11,2024-12-12,,,,,,20300997G4000,STACK ASSY MODULE,3,WB150SS_M_S,20300997G40,1,"2024.09.13 전력전자팀 배윤재
STACK ASSY MODUEL(WB150SS 40kW): 1,677,856 [원]
수량: 1 [EA]",1
V300520,3,RLS,2024-12-11,2024-12-12,,,,,,20301515G0100,PC BOARD,0,VCON BOARD,20301515G01,2,"2024.09.13 전력전자팀 배윤재
VCON BOARD: 40,000 [원]
수량: 2 [EA]",1
V300520,3,RLS,2024-12-11,2024-12-12,,,,,,20400900G0100,PC BOARD,0,VCON BOARD(rev1.4),20400900G01,2,"2024.09.13 전력전자팀 배윤재
POWER BOARD: 60,000 [원]
수량: 2 [EA]",1
