PARENTNO,PROD_STATUS,PROD_MODDATE,BRAND,GISONG,ASPSCD,SPEED,CAPA,PARTNO,PARTNAME,SPEC,PART_QTY,CMT,BLOCKNO
197207L25,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197207L25,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197207L26,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197207L26,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
202230L09,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
202230L09,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
197207L23,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197207L23,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197207L24,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197207L24,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
195591L01,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
195591L01,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
195591L02,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
195591L02,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
195592L01,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
195592L01,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
195592L02,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
195592L02,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
195880L01,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
195880L01,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
197207L22,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197207L22,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
202230L15,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000067G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
202230L15,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000283G0100,BALANCE WEIGHT,CONCRETE,5,,B120B03
202230L16,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000067G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
202230L16,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000283G0100,BALANCE WEIGHT,CONCRETE,5,,B120B03
202230L14,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000067G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
202230L14,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000283G0100,BALANCE WEIGHT,CONCRETE,5,,B120B03
202230L17,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000067G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
202230L17,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000283G0100,BALANCE WEIGHT,CONCRETE,5,,B120B03
197153L16,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197153L16,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197153L17,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197153L17,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
191106L02,WIP,2026-03-31,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000166G0100,BALANCE WEIGHT,"FC150, 10KG",34,,B120B03
191106L04,WIP,2026-03-31,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000166G0100,BALANCE WEIGHT,"FC150, 10KG",34,,B120B03
196083L01,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
196083L01,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
204945Y78,RLS,2026-07-07,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,L15 호기 적용 자재,B120B03
204945Y78,RLS,2026-07-07,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,L15 호기 적용 자재,B120B03
203378L01,RLS,2026-06-17,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
203378L01,RLS,2026-06-17,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
198818L01,RLS,2026-07-15,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
198818L01,RLS,2026-07-15,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
198818L02,RLS,2026-07-15,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
198818L02,RLS,2026-07-15,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
198818L03,RLS,2026-07-15,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
198818L03,RLS,2026-07-15,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
204027L01,RLS,2026-06-10,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
204027L01,RLS,2026-06-10,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
202801L01,RLS,2026-01-12,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
202801L01,RLS,2026-01-12,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
N23996L05,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
N23996L05,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L11,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
N23996L11,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L13,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
N23996L13,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L16,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
N23996L16,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L19,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
N23996L19,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L21,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
N23996L21,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L23,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
N23996L23,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L25,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
N23996L25,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
205448L03,RLS,2026-06-17,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
205448L03,RLS,2026-06-17,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
204931L01,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
204931L01,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
205448L01,RLS,2026-06-17,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
205448L01,RLS,2026-06-17,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
N23955L03,RLS,2026-02-02,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23955L03,RLS,2026-02-02,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,4,,B120B03
206915L01,RLS,2026-06-25,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
206915L01,RLS,2026-06-25,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,4,,B120B03
198117L36,RLS,2026-08-13,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000166G0100,BALANCE WEIGHT,"FC150, 10KG",31,,B120B03
N24237L04,RLS,2026-03-30,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
N24237L04,RLS,2026-03-30,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
099991L28,RLS,2026-07-08,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000067G0100,BALANCE WEIGHT,CONCRETE,5,,B120B03
099991L28,RLS,2026-07-08,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000283G0100,BALANCE WEIGHT,CONCRETE,8,,B120B03
205448L02,RLS,2026-07-15,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
205448L02,RLS,2026-07-15,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
N23996L02,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
N23996L02,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L09,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
N23996L09,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L10,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
N23996L10,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L01,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
N23996L01,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L03,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
N23996L03,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L04,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
N23996L04,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
206397L10,RLS,2026-02-03,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
206397L10,RLS,2026-02-03,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
V800940,RLS,2026-01-05,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,6,"1. NEX SPD RAMP UP 개발품으로 충주 F02 개발품 적재 위치로 입고할 것.
2. 자재수령 담당자 : 윤동휘M(010-4994-1253), 양예림M(010-9435-5602)",B120B03
V800940,RLS,2026-01-05,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,5,"1. NEX SPD RAMP UP 개발품으로 충주 F02 개발품 적재 위치로 입고할 것.
2. 자재수령 담당자 : 윤동휘M(010-4994-1253), 양예림M(010-9435-5602)",B120B03
N23996L06,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
N23996L06,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L07,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
N23996L07,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L08,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
N23996L08,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L12,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
N23996L12,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L14,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
N23996L14,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L15,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
N23996L15,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L17,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
N23996L17,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L18,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
N23996L18,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L20,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
N23996L20,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L22,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
N23996L22,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
N23996L24,RLS,2026-01-21,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
