PARENTNO,PROD_STATUS,PROD_MODDATE,BRAND,GISONG,EL_ASPD,EL_ACAPA,ASPSCD,PARTNO,PARTNAME,SPEC,PART_QTY,CMT,BLOCKNO
N27899L07,RLS,2026-04-15,LUXEN_1,GTLX_R,90,900,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-8.9kW
- TM TYPE : GX100D, MOTOR : 8.9kW, SPEED : 90m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 900kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27910L13,RLS,2026-03-02,LUXEN_1,GTLX_R,105,900,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-10.3kW
- TM TYPE : GX100D, MOTOR : 10.3kW, SPEED : 105m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 900kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27476L02,RLS,2026-03-27,LUXEN_1,GTLX_R,90,900,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-7R-8.9kW
- TM TYPE : GX100D, MOTOR : 8.9kW, SPEED : 90m/min
- ROPE : D8x7R, 1:1 ROPING, CAPACITY : 900kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28037L07,RLS,2026-04-15,LUXEN_1,GTLX_R,105,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-11kW
- TM TYPE : GX100D, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27910L05,RLS,2026-03-02,LUXEN_1,GTLX_R,105,900,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-10.3kW
- TM TYPE : GX100D, MOTOR : 10.3kW, SPEED : 105m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 900kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N29125L05,RLS,2026-09-02,LUXEN_1,GTLX_R,105,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-11kW
- TM TYPE : GX100D, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28132L41,RLS,2026-04-22,LUXEN_1,GTLX_R,105,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-11kW
- TM TYPE : GX100D, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27123L01,RLS,2026-01-05,LUXEN_1,GTLX_R,105,1150,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-13.2kW
- TM TYPE : GX100D, MOTOR : 13.2kW, SPEED : 105m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1150kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28917L03,RLS,2026-08-13,LUXEN_1,GTLX_R,90,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-9.9kW
- TM TYPE : GX100D, MOTOR : 9.9kW, SPEED : 90m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27001L07,RLS,2026-02-25,LUXEN_1,GTLX_R,105,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-11kW
- TM TYPE : GX100D, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28946L09,RLS,2026-09-03,LUXEN_1,GTLX_R,105,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-11kW
- TM TYPE : GX100D, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N29290L24,RLS,2026-08-19,LUXEN_1,GTLX_R,90,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-9.9kW
- TM TYPE : GX100D, MOTOR : 9.9kW, SPEED : 90m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28927L02,RLS,2026-08-28,LUXEN_1,GTLX_R,105,1150,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-13.2kW
- TM TYPE : GX100D, MOTOR : 13.2kW, SPEED : 105m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1150kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28132L29,RLS,2026-04-22,LUXEN_1,GTLX_R,105,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-11kW
- TM TYPE : GX100D, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28211L04,RLS,2026-04-15,LUXEN_1,GTLX_R,90,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-9.9kW
- TM TYPE : GX100D, MOTOR : 9.9kW, SPEED : 90m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N29125L03,RLS,2026-09-02,LUXEN_1,GTLX_R,105,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-11kW
- TM TYPE : GX100D, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28211L07,RLS,2026-04-24,LUXEN_1,GTLX_R,90,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-9.9kW
- TM TYPE : GX100D, MOTOR : 9.9kW, SPEED : 90m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27281L08,RLS,2026-02-09,LUXEN_1,GTLX_R,90,900,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-8.9kW
- TM TYPE : GX100D, MOTOR : 8.9kW, SPEED : 90m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 900kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27382L02,RLS,2026-04-13,LUXEN_1,GTLX_R,90,900,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-8.9kW
- TM TYPE : GX100D, MOTOR : 8.9kW, SPEED : 90m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 900kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28132L03,RLS,2026-06-19,LUXEN_1,GTLX_R,105,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-11kW
- TM TYPE : GX100D, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28132L33,RLS,2026-04-22,LUXEN_1,GTLX_R,105,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-11kW
- TM TYPE : GX100D, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N29290L05,RLS,2026-08-19,LUXEN_1,GTLX_R,90,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-9.9kW
- TM TYPE : GX100D, MOTOR : 9.9kW, SPEED : 90m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27488L12,RLS,2026-01-22,LUXEN_1,GTLX_R,105,1150,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-13.2kW
- TM TYPE : GX100D, MOTOR : 13.2kW, SPEED : 105m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1150kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28917L17,RLS,2026-08-13,LUXEN_1,GTLX_R,90,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-9.9kW
- TM TYPE : GX100D, MOTOR : 9.9kW, SPEED : 90m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27382L06,RLS,2026-03-23,LUXEN_1,GTLX_R,90,900,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-8.9kW
- TM TYPE : GX100D, MOTOR : 8.9kW, SPEED : 90m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 900kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28682L02,RLS,2026-06-19,LUXEN_1,GTLX_R,90,900,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-8.9kW
- TM TYPE : GX100D, MOTOR : 8.9kW, SPEED : 90m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 900kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28211L06,RLS,2026-04-24,LUXEN_1,GTLX_R,90,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-9.9kW
- TM TYPE : GX100D, MOTOR : 9.9kW, SPEED : 90m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N29454L01,RLS,2026-09-01,LUXEN_1,GTLX_R,90,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-9.9kW
- TM TYPE : GX100D, MOTOR : 9.9kW, SPEED : 90m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28964L14,RLS,2026-09-03,LUXEN_1,GTLX_R,105,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-11kW
- TM TYPE : GX100D, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N29043L13,RLS,2026-09-03,LUXEN_1,GTLX_R,90,1150,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-11.3kW
- TM TYPE : GX100D, MOTOR : 11.3kW, SPEED : 90m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1150kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27517L24,WIP,2026-02-12,LUXEN_1,GTLX_R,90,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-9.9kW
- TM TYPE : GX100D, MOTOR : 9.9kW, SPEED : 90m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28964L01,RLS,2026-09-03,LUXEN_1,GTLX_R,105,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-11kW
- TM TYPE : GX100D, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27902L05,RLS,2026-03-30,LUXEN_1,GTLX_R,90,900,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-8.9kW
- TM TYPE : GX100D, MOTOR : 8.9kW, SPEED : 90m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 900kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27910L20,RLS,2026-03-02,LUXEN_1,GTLX_R,105,900,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-10.3kW
- TM TYPE : GX100D, MOTOR : 10.3kW, SPEED : 105m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 900kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28037L11,RLS,2026-03-30,LUXEN_1,GTLX_R,105,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-11kW
- TM TYPE : GX100D, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N29290L28,RLS,2026-08-19,LUXEN_1,GTLX_R,90,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-9.9kW
- TM TYPE : GX100D, MOTOR : 9.9kW, SPEED : 90m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28132L05,RLS,2026-06-19,LUXEN_1,GTLX_R,105,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-11kW
- TM TYPE : GX100D, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N29290L22,RLS,2026-08-19,LUXEN_1,GTLX_R,90,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-9.9kW
- TM TYPE : GX100D, MOTOR : 9.9kW, SPEED : 90m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27910L09,RLS,2026-03-02,LUXEN_1,GTLX_R,105,900,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-10.3kW
- TM TYPE : GX100D, MOTOR : 10.3kW, SPEED : 105m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 900kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28927L01,RLS,2026-08-28,LUXEN_1,GTLX_R,105,1150,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-13.2kW
- TM TYPE : GX100D, MOTOR : 13.2kW, SPEED : 105m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1150kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28132L21,RLS,2026-04-22,LUXEN_1,GTLX_R,105,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-11kW
- TM TYPE : GX100D, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27910L18,RLS,2026-03-02,LUXEN_1,GTLX_R,105,900,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-10.3kW
- TM TYPE : GX100D, MOTOR : 10.3kW, SPEED : 105m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 900kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N29043L12,RLS,2026-09-03,LUXEN_1,GTLX_R,90,1150,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-11.3kW
- TM TYPE : GX100D, MOTOR : 11.3kW, SPEED : 90m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1150kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27281L16,RLS,2026-02-09,LUXEN_1,GTLX_R,90,900,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-8.9kW
- TM TYPE : GX100D, MOTOR : 8.9kW, SPEED : 90m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 900kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28132L39,RLS,2026-06-19,LUXEN_1,GTLX_R,105,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-11kW
- TM TYPE : GX100D, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N29290L09,RLS,2026-08-19,LUXEN_1,GTLX_R,90,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-9.9kW
- TM TYPE : GX100D, MOTOR : 9.9kW, SPEED : 90m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28964L03,RLS,2026-09-03,LUXEN_1,GTLX_R,105,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-11kW
- TM TYPE : GX100D, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27488L03,RLS,2026-01-22,LUXEN_1,GTLX_R,105,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-11kW
- TM TYPE : GX100D, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27476L01,RLS,2026-04-13,LUXEN_1,GTLX_R,90,900,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-7R-8.9kW
- TM TYPE : GX100D, MOTOR : 8.9kW, SPEED : 90m/min
- ROPE : D8x7R, 1:1 ROPING, CAPACITY : 900kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N28917L14,RLS,2026-08-13,LUXEN_1,GTLX_R,90,1000,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-9.9kW
- TM TYPE : GX100D, MOTOR : 9.9kW, SPEED : 90m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 1000kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N29043L02,RLS,2026-07-24,LUXEN_1,GTLX_R,90,1150,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-9R-11.3kW
- TM TYPE : GX100D, MOTOR : 11.3kW, SPEED : 90m/min
- ROPE : D8x9R, 1:1 ROPING, CAPACITY : 1150kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N29175L11,RLS,2026-08-20,LUXEN_1,GTLX_R,105,900,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-10.3kW
- TM TYPE : GX100D, MOTOR : 10.3kW, SPEED : 105m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 900kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N27382L12,RLS,2026-03-23,LUXEN_1,GTLX_R,90,900,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-8.9kW
- TM TYPE : GX100D, MOTOR : 8.9kW, SPEED : 90m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 900kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
N29043L05,RLS,2026-07-24,LUXEN_1,GTLX_R,90,900,KR00,10110496G040A,TM,"GX100D,1:1,DOUBLE",1,"GX100D-8R-8.9kW
- TM TYPE : GX100D, MOTOR : 8.9kW, SPEED : 90m/min
- ROPE : D8x8R, 1:1 ROPING, CAPACITY : 900kg
- GTLX-R, BFK464-28R.2
- FAG WS22216 베어링 적용할 것.",A101A
