PARTNO,PARTNAME,SPEC,CMT,HOGI_CNT,ITEM_CNT
18110412G1800,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 42 EA / 2차 입고수량 : 5 EA",3,3
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=655 (35/BG-160/35 -> 60/535/60 로 변경), SW=180, SC=SE=115",3,3
18110414G2100,SUBWEIGHT,"SS400,30kg","
- 1차 입고수량 : 83 EA / 2차 입고수량 : 14 EA",3,3
18110414G2100,SUBWEIGHT,"SS400,30kg","
- 1차 입고수량 : 96 EA / 2차 입고수량 : 15 EA",3,3
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=915 (35/BG-160/35 -> 45/825/45 로 변경), SW=125, SC=SE=65",3,3
18110414G2100,SUBWEIGHT,"SS400,30kg","
- 1차 입고수량 : 103 EA / 2차 입고수량 : 15 EA",3,3
18110827G0200,SUBWEIGHT,"직상부 MRL,SS400,23.9KG",,2,2
18110742G0400,SUBWEIGHT,"평택미군부대, SS275",,2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=895 (35/BG-160/35 -> 45/805/45 로 변경), SW=160, SC=SE=95",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=685 (35/BG-160/35 -> 40/605/40 로 변경), SW=105, SC=SE=65",2,2
18110412G1800,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 45 EA / 2차 입고수량 : 7 EA",2,2
18110413G0900,SUBWEIGHT,"FC,30kg","
- 1차 입고수량 : 13 EA / 2차 입고수량 : 14 EA",2,2
18110414G1700,SUBWEIGHT,"SS400,30kg",26.04.10 구매팀 요청으로 자재번호 변경,2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=890 (35/BG-160/35 -> 35/820/35 로 변경), SW=170, SC=SE=70",2,2
18110414G2100,SUBWEIGHT,"SS400,30kg","
- 1차 입고수량 : 101 EA / 2차 입고수량 : 8 EA",2,2
18110825G4300,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 18 EA / 2차 입고수량 : 11 EA",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=920 (35/BG-160/35 -> 65/790/65 로 변경), SW=200, SC=SE=105",2,2
18110411G1200,SUBWEIGHT,"CONCRETE,30kg","26.04.10 구매팀 요청으로 자재번호 변경
- 1차 입고수량 : 36 EA / 2차 입고수량 : 7 EA",2,2
18110412G0900,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 1 EA / 2차 입고수량 : 10 EA",2,2
18110825G3600,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 66 EA / 2차 입고수량 : 12 EA",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=1130 (35/BG-160/35 -> 55/1020/55 로 변경), SW=210, SC=SE=90",2,2
18110825G3000,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 13 EA
- 2026.06.04 변경.",2,2
18110411G1200,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 32 EA / 2차 입고수량 : 3 EA",2,2
18110286G0600,SUBWEIGHT,"CONCRETE,4.0E-6kg/mm^3,40KG/EA",※ 대체 서브웨이트 추가(첨부메일 참고),2,2
VC003831G9300,SUBWEIGHT,"SS400,20kg",VC864H01형상으로 제작바랍니다.,2,2
C181P004232,SUBWEIGHT,21kg,- SPRAY COLOR : BLACK,2,2
18110412G1800,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 43 EA / 2차 입고수량 : 8 EA",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=825 (35/BG-160/35 -> 65/695/65 로 변경), SW=175, SC=SE=100",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=915 (35/BG-160/35 -> 55/805/55 로 변경), SW=220, SC=SE=95",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=925 (35/BG-160/35 -> 65/795/65 로 변경), SW=200, SC=SE=105",2,2
18110413G0900,SUBWEIGHT,"FC,30kg",- 1차 입고수량 : 79 EA / 2차 입고수량 : 3 EA,2,2
18110825G4100,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 29 EA / 2차 입고수량 : 10 EA",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=665 (35/BG-160/35 -> 55/555/55 로 변경), SW=160, SC=SE=95",2,2
18110413G0500,SUBWEIGHT,"FC,30kg",- 입고 장소 : 충주공장 물류창고,2,2
18110825G4100,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 40 EA / 2차 입고수량 : 8 EA",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=725 (35/BG-160/35 -> 45/635/45 로 변경), SW=175, SC=SE=70",2,2
18110826G0100,SUBWEIGHT,"SHIP,FC15,15kg",,2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=1125 (35/BG-160/35 -> 55/1015/55 로 변경), SW=190, SC=SE=115",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=785 (35/BG-160/35 -> 35/715/35 로 변경), SW=110, SC=SE=100",2,2
18110412G1800,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 51 EA / 2차 입고수량 : 8 EA",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=810 (35/BG-160/35 -> 40/730/40 로 변경), SW=250, SC=SE=170",2,2
18110824G410A,SUBWEIGHT,"CONCRETE(3.2),30kg","- SPRAY COLOR : BLACK
- 1차 입고수량 : 36 EA / 2차 입고수량 : 10 EA",2,2
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 39 EA / 2차 입고수량 : 10 EA",2,2
18110414G1700,SUBWEIGHT,"SS400,30kg",- 1차 입고수량 : 96 EA / 2차 입고수량 : 13 EA,2,2
18110825G3000,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 48 EA / 2차 입고수량 : 8 EA",2,2
18110414G1700,SUBWEIGHT,"SS400,30kg","- 1차 입고수량 : 88 EA / 2차 입고수량 : 13 EA 
",2,2
18110825G3100,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 26 EA / 2차 입고수량 : 2 EA",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=810 (35/BG-160/35 -> 40/730/40 로 변경), SW=170, SC=SE=120",2,2
18110825G4100,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 46 EA / 2차 입고수량 : 2 EA",2,2
18110346G0300,SUBWEIGHT,"POCKET,BG=1200X230xt16,SS400",,2,2
18110412G0900,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 20 EA / 2차 입고수량 : 2 EA",2,2
18110824G430A,SUBWEIGHT,"CONCRETE(3.2),30kg","- SPRAY COLOR : BLACK
- 1차 입고수량 : 35 EA / 2차 입고수량 : 12 EA",2,2
18110412G0800,SUBWEIGHT,"CONCRETE,30kg",- 1차 입고수량 : 14 EA / 2차 입고수량 : 0 EA,2,2
VC003831G9300,SUBWEIGHT,"SS400,20kg","- MATERIAL : SS400, WEIGHT : 20kg/EA
- A=830, [A-70] -> 680적용, C=E=115, B=170",2,2
18110824G410A,SUBWEIGHT,"CONCRETE(3.2),30kg","- SPRAY COLOR : BLACK
- 1차 입고수량 : 41 EA / 2차 입고수량 : 12 EA",2,2
18110414G0800,SUBWEIGHT,"SS400,30kg","
- 1차 입고수량 : 41 EA / 2차 입고수량 : 11 EA",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=830 (35/BG-160/35 -> 40/750/40 로 변경), SW=170, SC=SE=120",2,2
18110412G0900,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 27 EA / 2차 입고수량 : 1 EA",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=700 (35/BG-160/35 -> 40/620/40 로 변경), SW=140, SC=SE=70",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=705 (35/BG-160/35 -> 35/635/35 로 변경), SW=165, SC=SE=70",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=805 (35/BG-160/35 -> 40/725/40 로 변경), SW=170, SC=SE=120",2,2
18110825G4300,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 21 EA / 2차 입고수량 : 7 EA",2,2
18110412G0800,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 24 EA / 2차 입고수량 : 5 EA",2,2
18110412G2100,SUBWEIGHT,"CONCRETE,30kg",26.05.08 +10EA 추가,2,2
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 50 EA / 2차 입고수량 : 10 EA",2,2
18110414G1400,SUBWEIGHT,"SS400,30kg",***2026.04.02 자재번호 변경,2,2
18110414G0400,SUBWEIGHT,"SS400,30kg",***2026.04.02 자재번호 변경,2,2
VC003831G9300,SUBWEIGHT,"SS400,20kg","- MATERIAL : SS400, WEIGHT : 20kg/EA
- A=820, A-70=690, C=E=95, B=170",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=720 (35/BG-160/35 -> 40/640/40 로 변경), SW=170, SC=SE=70",2,2
18110412G2100,SUBWEIGHT,"CONCRETE,30kg",2026.03.09 Plan C Weight 류 변경 건.,2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=1155 (35/BG-160/35 -> 65/1025/65 로 변경), SW=220, SC=SE=115",2,2
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 61 EA / 2차 입고수량 : 9 EA",2,2
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 65 EA / 2차 입고수량 : 5 EA",2,2
18100369G0100,SUBWEIGHT,"CONCRETE, 3.0x10^-6, 25kg",,2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=800 (35/BG-160/35 -> 40/720/40 로 변경), SW=160, SC=SE=65",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=1115 (35/BG-160/35 -> 45/1025/45 로 변경), SW=220, SC=SE=170",2,2
18110413G0900,SUBWEIGHT,"FC,30kg","
- 1차 입고수량 : 11 EA / 2차 입고수량 : 4 EA",2,2
VC003831G9300,SUBWEIGHT,"SS400,20kg","*A=820, [A-70]->690, 도면 상 35->65, C=E=95, B=170
",2,2
18110824G2300,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,2,2
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 64 EA / 2차 입고수량 : 7 EA",2,2
VC003831G9300,SUBWEIGHT,"SS400,20kg","- MATERIAL : SS400, WEIGHT : 20kg/EA
* A=1120 , A-70=1030 적용, B=220 , C=E=150
",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=825 (35/BG-160/35 -> 50/725/50 로 변경), SW=150, SC=SE=100",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=905 (35/BG-160/35 -> 40/825/40 로 변경), SW=180, SC=SE=80",2,2
VC003831G9300,SUBWEIGHT,"SS400,20kg","MATERIAL : SS400, WEIGHT : 20kg/EA
- 수량: 2 EA 
- A=1070, [35/A-70/35] → [55/960/55]로 변경 제작할 것
- B=225, C=E=120",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=800 (35/BG-160/35 -> 45/710/45 로 변경), SW=170, SC=SE=95",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=1140 (35/BG-160/35 -> 55/1030/55 로 변경), SW=125, SC=SE=68",2,2
18110413G0800,SUBWEIGHT,"FC,30kg","- 1차 입고수량 : 30EA
- 2026.06.04 변경.",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=850 (35/BG-160/35 -> 60/730/60 로 변경), SW=195, SC=SE=115",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=1120 (35/BG-160/35 -> 65/990/65 로 변경), SW=225, SC=SE=160",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=855 (35/BG-160/35 -> 65/725/65 로 변경), SW=200, SC=SE=115",2,2
18110414G0800,SUBWEIGHT,"SS400,30kg",2026.03.09 Plan C Weight 류 변경 건.,2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=825 (35/BG-160/35 -> 40/745/40 로 변경), SW=170, SC=SE=120",2,2
18110414G0800,SUBWEIGHT,"SS400,30kg",*04.22 +10EA INTERIOR 분 추가 반영 (Qty 76->86),2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=855 (35/BG-160/35 -> 50/755/50 로 변경), SW=185, SC=SE=110",2,2
18110824G410A,SUBWEIGHT,"CONCRETE(3.2),30kg","- SPRAY COLOR : BLACK
- 1차 입고수량 : 41 EA / 2차 입고수량 : 11 EA",2,2
18110825G4100,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 44 EA / 2차 입고수량 : 2 EA",2,2
18110825G3000,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 18 EA / 2차 입고수량 : 1 EA",2,2
18110414G0500,SUBWEIGHT,"SS400,30kg",***2026.04.02 자재번호 변경,2,2
18110413G0900,SUBWEIGHT,"FC,30kg","
- 1차 입고수량 : 56 EA / 2차 입고수량 : 8 EA",2,2
18110412G1800,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 40 EA / 2차 입고수량 : 10 EA",2,2
18110359G0100,SUBWEIGHT,"CONCRETE,3.6E-6kg/mm^3,25KG/EA",*10.16 구매요청분 변경 반영 (FOR 재고소진),2,2
18110825G4100,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 26 EA / 2차 입고수량 : 7 EA",2,2
18110412G1400,SUBWEIGHT,"CONCRETE,30kg",***2026.04.02 자재번호 변경,2,2
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 29 EA / 2차 입고수량 : 8 EA",2,2
18110412G0400,SUBWEIGHT,"CONCRETE,30kg",***2026.04.02 자재번호 변경,2,2
18110414G1700,SUBWEIGHT,"SS400,30kg",..//25.08.25// 추가(8 SET),2,2
18110412G1800,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 45 EA / 2차 입고수량 : 11 EA",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=810 (35/BG-160/35 -> 55/700/55 로 변경), SW=165, SC=SE=95",2,2
18110412G1800,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 46 EA / 2차 입고수량 : 10 EA",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=1090 (35/BG-160/35 -> 65/960/65 로 변경), SW=230, SC=SE=115",2,2
18110299G0300,SUBWEIGHT,"FC,25kg/EA",*10.16 구매요청분 변경 반영 (FOR 재고소진),2,2
18110414G0900,SUBWEIGHT,"SS400,30kg","
- 1차 입고수량 : 65 EA / 2차 입고수량 : 1 EA",2,2
18110414G2100,SUBWEIGHT,"SS400,30kg","
- 1차 입고수량 : 117 EA / 2차 입고수량 : 6 EA",2,2
18110824G4300,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 40 EA / 2차 입고수량 : 3 EA",2,2
18110824G270A,SUBWEIGHT,"CONCRETE(3.2),30kg","- SPRAY COLOR : BLACK
- 입고장소 : 충주공장 물류센터",2,2
18110825G3100,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 29 EA / 2차 입고수량 : 1 EA",2,2
VC003831G9300,SUBWEIGHT,"SS400,20kg","- MATERIAL : SS400, WEIGHT : 20kg/EA
- VC3831G04 사이즈로 6EA",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=900 (35/BG-160/35 -> 40/820/40 로 변경), SW=130, SC=SE=70",2,2
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 55 EA / 2차 입고수량 : 9 EA",2,2
18110412G0500,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 27 EA / 2차 입고수량 : 8 EA",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=665 (35/BG-160/35 -> 65/535/65 로 변경), SW=180, SC=SE=115",2,2
VC003831G9300,SUBWEIGHT,"SS400,20kg","DWG. 18110763 적용 제작 (18110414G04에서 따냄 적용)
- 장 당 30kg x 50 ea = 1500kg",2,2
18110414G2100,SUBWEIGHT,"SS400,30kg","
- 1차 입고수량 : 94 EA / 2차 입고수량 : 13 EA",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=1125 (35/BG-160/35 -> 50/1025/50 로 변경), SW=220, SC=SE=115",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=825 (35/BG-160/35 -> 50/725/50 로 변경), SW=170, SC=SE=70",2,2
18110412G2100,SUBWEIGHT,"CONCRETE,30kg",※ 18110286G0600로 대체 (현진아 매니저님 요청),2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=840 (35/BG-160/35 -> 55/730/55 로 변경), SW=200, SC=SE=115",2,2
18110412G2100,SUBWEIGHT,"CONCRETE,30kg","
- 1차 입고수량 : 55 EA / 2차 입고수량 : 7 EA",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=920 (35/BG-160/35 -> 50/820/50 로 변경), SW=185, SC=SE=85",2,2
18110413G0500,SUBWEIGHT,"FC,30kg",- 인테리어 추가건 ,2,2
18110824G4100,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",,2,2
18110825G3000,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S","- SPRAY COLOR : BLACK
- 1차 입고수량 : 48 EA / 2차 입고수량 : 9 EA",2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=1140 (35/BG-160/35 -> 55/1030/55 로 변경), SW=200, SC=SE=120",2,2
18110413G0800,SUBWEIGHT,"FC,30kg",*10.16 구매요청분 변경 반영 (FOR 재고소진),2,2
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=815 (35/BG-160/35 -> 60/695/60 로 변경), SW=180, SC=SE=95",2,2
